data,ano,mes,regiao,bioma,focos_observados
2025-01-15,2025,1,Nordeste,Caatinga,17
2025-01-15,2025,1,Centro-Oeste,Cerrado,104
2025-01-15,2025,1,Sudeste,Cerrado,40
2025-01-15,2025,1,Sul,Cerrado,4
2025-01-15,2025,1,Centro-Oeste,Mata Atlântica,47
2025-01-15,2025,1,Nordeste,Mata Atlântica,58
2025-01-15,2025,1,Sudeste,Mata Atlântica,72
2025-01-15,2025,1,Sul,Mata Atlântica,194
2025-01-15,2025,1,Sul,Pampa,14
2025-01-15,2025,1,Centro-Oeste,Pantanal,15
2025-01-16,2025,1,Centro-Oeste,Amazônia,13
2025-01-16,2025,1,Norte,Amazônia,1983
2025-01-16,2025,1,Nordeste,Caatinga,154
2025-01-16,2025,1,Centro-Oeste,Cerrado,140
2025-01-16,2025,1,Nordeste,Cerrado,3
2025-01-16,2025,1,Centro-Oeste,Mata Atlântica,71
2025-01-16,2025,1,Nordeste,Mata Atlântica,136
2025-01-16,2025,1,Sudeste,Mata Atlântica,9
2025-01-16,2025,1,Sul,Mata Atlântica,86
2025-01-16,2025,1,Sul,Pampa,37
2025-01-16,2025,1,Centro-Oeste,Pantanal,124
2025-01-17,2025,1,Centro-Oeste,Amazônia,9
2025-01-17,2025,1,Nordeste,Amazônia,2
2025-01-17,2025,1,Norte,Amazônia,1050
2025-01-17,2025,1,Nordeste,Caatinga,288
2025-01-17,2025,1,Centro-Oeste,Cerrado,33
2025-01-17,2025,1,Nordeste,Cerrado,4
2025-01-17,2025,1,Sudeste,Cerrado,14
2025-01-17,2025,1,Centro-Oeste,Mata Atlântica,34
2025-01-17,2025,1,Nordeste,Mata Atlântica,137
2025-01-17,2025,1,Sudeste,Mata Atlântica,30
2025-01-17,2025,1,Sul,Mata Atlântica,101
2025-01-17,2025,1,Sul,Pampa,33
2025-01-17,2025,1,Centro-Oeste,Pantanal,40
2025-01-18,2025,1,Centro-Oeste,Amazônia,19
2025-01-18,2025,1,Nordeste,Amazônia,5
2025-01-18,2025,1,Norte,Amazônia,1371
2025-01-18,2025,1,Nordeste,Caatinga,247
2025-01-18,2025,1,Centro-Oeste,Cerrado,39
2025-01-18,2025,1,Nordeste,Cerrado,10
2025-01-18,2025,1,Norte,Cerrado,4
2025-01-18,2025,1,Sudeste,Cerrado,35
2025-01-18,2025,1,Centro-Oeste,Mata Atlântica,122
2025-01-18,2025,1,Nordeste,Mata Atlântica,71
2025-01-18,2025,1,Sudeste,Mata Atlântica,45
2025-01-18,2025,1,Sul,Mata Atlântica,73
2025-01-18,2025,1,Sul,Pampa,42
2025-01-18,2025,1,Centro-Oeste,Pantanal,32
2025-01-19,2025,1,Centro-Oeste,Amazônia,4
2025-01-19,2025,1,Norte,Amazônia,1046
2025-01-19,2025,1,Nordeste,Caatinga,34
2025-01-19,2025,1,Sudeste,Caatinga,3
2025-01-19,2025,1,Centro-Oeste,Cerrado,33
2025-01-19,2025,1,Nordeste,Cerrado,66
2025-01-19,2025,1,Norte,Cerrado,20
2025-01-19,2025,1,Sudeste,Cerrado,58
2025-01-19,2025,1,Centro-Oeste,Mata Atlântica,2
2025-01-19,2025,1,Nordeste,Mata Atlântica,68
2025-01-19,2025,1,Sudeste,Mata Atlântica,107
2025-01-19,2025,1,Sul,Mata Atlântica,38
2025-01-19,2025,1,Sul,Pampa,20
2025-01-20,2025,1,Centro-Oeste,Amazônia,8
2025-01-20,2025,1,Nordeste,Amazônia,21
2025-01-20,2025,1,Norte,Amazônia,1235
2025-01-20,2025,1,Nordeste,Caatinga,228
2025-01-20,2025,1,Sudeste,Caatinga,3
2025-01-20,2025,1,Centro-Oeste,Cerrado,91
2025-01-20,2025,1,Nordeste,Cerrado,27
2025-01-20,2025,1,Norte,Cerrado,25
2025-01-20,2025,1,Sudeste,Cerrado,89
2025-01-20,2025,1,Centro-Oeste,Mata Atlântica,1
2025-01-20,2025,1,Nordeste,Mata Atlântica,269
2025-01-20,2025,1,Sudeste,Mata Atlântica,188
2025-01-20,2025,1,Sul,Mata Atlântica,7
2025-01-21,2025,1,Centro-Oeste,Amazônia,7
2025-01-21,2025,1,Nordeste,Amazônia,19
2025-01-21,2025,1,Norte,Amazônia,815
2025-01-21,2025,1,Nordeste,Caatinga,413
2025-01-21,2025,1,Centro-Oeste,Cerrado,103
2025-01-21,2025,1,Nordeste,Cerrado,111
2025-01-21,2025,1,Norte,Cerrado,13
2025-01-21,2025,1,Sudeste,Cerrado,93
2025-01-21,2025,1,Centro-Oeste,Mata Atlântica,2
2025-01-21,2025,1,Nordeste,Mata Atlântica,329
2025-01-21,2025,1,Sudeste,Mata Atlântica,182
